date_pulled,rank,song,artist
11/25/2015,1,Hello,Adele
11/25/2015,2,Same Old Love,Selena Gomez
11/25/2015,3,Perfect,One Direction
11/25/2015,4,Sorry,Justin Bieber
11/25/2015,5,Love Yourself,Justin Bieber
11/25/2015,6,A.M.,One Direction
11/25/2015,7,What Do You Mean?,Justin Bieber
11/25/2015,8,Stressed Out,Twenty One Pilots
11/25/2015,9,Water Under The Bridge,Adele
11/25/2015,10,A Head Full of Dreams,Coldplay
11/25/2015,11,All Day,Kanye West
11/25/2015,12,History,One Direction
11/25/2015,13,Focus,Ariana Grande
11/25/2015,14,When We Were Young,Adele
11/25/2015,15,Hotline Bling,Drake
11/25/2015,16,Million Years Ago,Adele
11/25/2015,17,Victorious,Panic! At the Disco
11/25/2015,18,Boys Like You,Who Is Fancy
11/25/2015,19,Love Me Like You,Little Mix
11/25/2015,20,I Will Wait,Nick Carter
11/25/2015,21,Jet Black Heart,5 Seconds Of Summer
11/25/2015,22,Confident,Demi Lovato
11/25/2015,23,Worth It,Fifth Harmony
11/25/2015,24,Here,Alessia Cara
11/25/2015,25,Hymn for the Weekend,Coldplay
11/25/2015,26,Uptown Funk,Mark Ronson
11/25/2015,27,Love Me Like You Do,Ellie Goulding
11/25/2015,28,Amazing Day,Coldplay
11/25/2015,29,The Hills,The Weeknd
11/25/2015,30,EW!,Jimmy Fallon
11/25/2015,31,Used to Love You,Gwen Stefani
11/25/2015,32,Drag Me Down,One Direction
11/25/2015,33,WTF,Missy Elliott
11/25/2015,34,Hey Everybody!,5 Seconds Of Summer
11/25/2015,35,Smoke Break,Carrie Underwood
11/25/2015,36,The End,Little Mix
11/25/2015,37,Stitches,Shawn Mendes
11/25/2015,38,Kevin,Macklemore & Ryan Lewis
11/25/2015,39,High,Zella Day
11/25/2015,40,Wake Up,The Vamps
11/25/2015,41,Exchange,Bryson Tiller
11/25/2015,42,Blackstar,David Bowie
11/25/2015,43,Ex's & Oh's,Elle King
11/25/2015,44,Song Cry,August Alsina
11/25/2015,45,Alright,Kendrick Lamar
11/25/2015,46,What A Feeling,One Direction
11/25/2015,47,If I Could Fly,One Direction
11/25/2015,48,Money,5 Seconds Of Summer
11/25/2015,49,Lost In The Night,Uzi
11/25/2015,50,Adventure of a Lifetime,Coldplay
11/25/2015,51,On My Mind,Ellie Goulding
11/25/2015,52,Secret Love Song,Little Mix
11/25/2015,53,Trouble,Cage the Elephant
11/25/2015,54,Say It,Tory Lanez
11/25/2015,55,Untouchable,Pusha T
11/25/2015,56,Say Love,JoJo
11/25/2015,57,Can't Feel My Face,The Weeknd
11/25/2015,58,Manolo,Trip Lee
11/25/2015,59,Wildest Dreams,Taylor Swift
11/25/2015,60,Wolves,One Direction
11/25/2015,61,Saint Cecilia,Foo Fighters
11/25/2015,62,That's Christmas To Me,Pentatonix
11/25/2015,63,King Kunta,Kendrick Lamar
11/25/2015,64,679,Fetty Wap
11/25/2015,65,Magnets,Disclosure
11/25/2015,66,Fight Song,Rachel Platten
11/25/2015,67,Black Magic,Little Mix
11/25/2015,68,One Call Away,Charlie Puth
11/25/2015,69,Lean On,Major Lazer
11/25/2015,70,Over and Over Again,Nathan Sykes
11/25/2015,71,Locked Away,R. City
11/25/2015,72,Writings On The Wall,Sam Smith
11/25/2015,73,I'll Show You,Justin Bieber
11/25/2015,74,Temporary Fix,One Direction
11/25/2015,75,Heartbeat,Carrie Underwood
11/25/2015,76,Pipe It Up,Migos
11/25/2015,77,Cake By the Ocean,DNCE
11/25/2015,78,Jumpman,Drake
11/25/2015,79,Mess Around,Cage the Elephant
11/25/2015,80,"Love You, Goodbye",One Direction
11/25/2015,81,Cheek to Cheek,Tony Bennett
11/25/2015,82,See You Again,Wiz Khalifa
11/25/2015,83,All I Ask,Adele
11/25/2015,84,Olivia,One Direction
