date_pulled,rank,song,artist
11/25/2015,1,Adventure Of A Lifetime,Coldplay
11/25/2015,2,Focus,Ariana Grande
11/25/2015,3,Down In The Dm,Yo Gotti
11/25/2015,4,Love Yourself,Justin Biebe
11/25/2015,5,WTF (Where They From),Missy Elliott
11/25/2015,6,Bang My Head,David Guetta
11/25/2015,7,Ready To Go,Empire Cast
11/25/2015,8,Back To Sleep,Chris Brown
11/25/2015,9,Oui,Jeremih
11/25/2015,10,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello
11/25/2015,11,Like Baby,Jacquees
11/25/2015,12,Thank God For Girls,Weezer
11/25/2015,13,Start A Riot,BANNERS
11/25/2015,14,Mr. Misunderstood,Eric Church
11/25/2015,15,Best Friend,Young Thug
11/25/2015,16,Mess Around,Cage The Elephant
11/25/2015,17,I'll Show You,Justin Bieber
11/25/2015,18,As Long As You Love Me,Sleeping At Last
11/25/2015,19,Solo Con Verte,Banda Sinaloense MS De Sergio Lizarraga
11/25/2015,20,My Beyonce,Lil Durk
