date_pulled,rank,song,artist
11/25/2015,1,Hello,Adele
11/25/2015,2,Here,Alessia Cara
11/25/2015,3,Like I'm Gonna Lose You,Meghan Trainor
11/25/2015,4,Ex's & Oh's,Elle King
11/25/2015,5,Sorry,Justin Bieber
11/25/2015,6,Same Old Love,Selena Gomez
11/25/2015,7,Stitches,Shawn Mendes
11/25/2015,8,White Iverson,Post Malone
11/25/2015,9,Hotline Bling,Drake
11/25/2015,10,The Hills,The Weeknd
11/25/2015,11,On My Mind,Ellie Goulding
11/25/2015,12,Higher Place,Dimitri Vegas & Like Mike
11/25/2015,13,In The Night,The Weeknd
11/25/2015,14,Sound & Color,Alabama Shakes
11/25/2015,15,Lay It All On Me,Rudimental
11/25/2015,16,Die A Happy Man,Thomas Rhett
11/25/2015,17,679,Fetty Wap
11/25/2015,18,Antidote,Travi$ Scott
11/25/2015,19,Hide Away,Daya
11/25/2015,20,Roses,The Chainsmokers
11/25/2015,21,Say It,Tory Lanez
11/25/2015,22,Stressed Out,Twenty One Pilots
11/25/2015,23,Back Up,DeJ Loaf
11/25/2015,24,Wildest Dreams,Taylor Swift
11/25/2015,25,Don't,Bryson Tiller
11/25/2015,26,Lean On,Major Lazer
11/25/2015,27,Perfect,One Direction
11/25/2015,28,The Fix,Nelly
11/25/2015,29,Locked Away,R. City
11/25/2015,30,The Buzz,Hermitude
11/25/2015,31,Adventure Of A Lifetime,Coldplay
11/25/2015,32,No Role Modelz,J. Cole
11/25/2015,33,Focus,Ariana Grande
11/25/2015,34,S.O.B.,Nathaniel Rateliff & The Night Sweats
11/25/2015,35,Play No Games,Big Sean
11/25/2015,36,Cake By The Ocean,DNCE
11/25/2015,37,Dessert,Dawin
11/25/2015,38,Down In The Dm,Yo Gotti
11/25/2015,39,Confident,Demi Lovato
11/25/2015,40,How Deep Is Your Love,Calvin Harris & Disciples
11/25/2015,41,Renegades,X Ambassadors
11/25/2015,42,Love Yourself,Justin Biebe
11/25/2015,43,What Do You Mean?,Justin Bieber
11/25/2015,44,Burning House,Cam
11/25/2015,45,Sorry,Rick Ross
11/25/2015,46,Hold My Hand,Jess Glynne
11/25/2015,47,Used To Love You,Gwen Stefani
11/25/2015,48,Jumpman,Drake & Future
11/25/2015,49,Blas,Ty Dolla $ign
11/25/2015,50,Break Up In A Small Town,Sam Hunt
11/25/2015,51,California,Colonel Loud
11/25/2015,52,Player,Tinashe
11/25/2015,53,Where Ya At,Future
11/25/2015,54,$ave Dat Money,Lil Dicky
11/25/2015,55,Let It Go,James Bay
11/25/2015,56,Forgiveness (El Perdn),Nicky Jam & Enrique Iglesias
11/25/2015,57,Again,Fetty Wap
11/25/2015,58,Irresistible,Fall Out Boy
11/25/2015,59,Home Alone Tonight,Luke Bryan
11/25/2015,60,Get Home,JR Castro
11/25/2015,61,Can't Feel My Face,The Weeknd
11/25/2015,62,Drag Me Down,One Direction
11/25/2015,63,One Call Away,Charlie Puth
11/25/2015,64,Stand By You,Rachel Platten
11/25/2015,65,My House,Flo Rida
11/25/2015,66,Nobody Has To Know,Kranium
11/25/2015,67,Photograph,Ed Sheeran
11/25/2015,68,New Americana,Halsey
11/25/2015,69,Good For You,Selena Gomez
11/25/2015,70,Zero,Chris Brown
11/25/2015,71,Sugar,Robin Schulz
11/25/2015,72,First,Cold War Kids
11/25/2015,73,Stay A Little Longer,Brothers Osborne
11/25/2015,74,Someone New,Hozier
11/25/2015,75,I'm Comin' Over,Chris Young
11/25/2015,76,WTF (Where They From),Missy Elliott
11/25/2015,77,Hold Each Other,A Great Big World
11/25/2015,78,Bang My Head,David Guetta
11/25/2015,79,Thinking Out Loud,Ed Sheeran
11/25/2015,80,Blame It On Me,George Ezra
11/25/2015,81,Something Better,Audien
11/25/2015,82,Good To Be Alive (Hallelujah),Andy Grammer
11/25/2015,83,Nothin' Like You,Dan + Shay
11/25/2015,84,Ginza,J. Balvin
11/25/2015,85,Earned It (Fifty Shades of Grey),The Weeknd
11/25/2015,86,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
11/25/2015,87,Be Right There,Diplo & Sleepy Tom
11/25/2015,88,Beautiful Drug,Zac Brown Band
11/25/2015,89,"Me, Myself & I",G-Eazy & Bebe Rexha
11/25/2015,90,Break Up With Him,Old Dominion
11/25/2015,91,Hit The Quan,IHeartMemphis
11/25/2015,92,Cheerleader (Felix Jaehn Remix),Omi
11/25/2015,93,Indian Summer,Jai Wolf
11/25/2015,94,Downtown,Macklemore & Ryan Lewis
11/25/2015,95,Comfortable,K Camp
11/25/2015,96,Ready To Go,Empire Cast
11/25/2015,97,Watch Out,2 Chainz
11/25/2015,98,Writing's On The Wall,Sam Smith
11/25/2015,99,Come Get Her,Rae Sremmurd
11/25/2015,100,Encantadora,Yandel
